"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2007","6,554.90","6,485.60","6,577.80","6,485.60","","1.07%"
"06/12/2007","6,485.60","6,493.80","6,591.80","6,437.80","","-0.13%"
"05/12/2007","6,493.80","6,315.20","6,493.80","6,315.20","","2.83%"
"04/12/2007","6,315.20","6,386.60","6,398.20","6,289.30","","-1.12%"
"03/12/2007","6,386.60","6,432.50","6,456.10","6,379.90","","-0.71%"
"30/11/2007","6,432.50","6,349.10","6,455.80","6,334.00","","1.31%"
"29/11/2007","6,349.10","6,306.20","6,363.50","6,273.40","","0.68%"
"28/11/2007","6,306.20","6,140.70","6,307.40","6,109.60","","2.70%"
"27/11/2007","6,140.70","6,180.50","6,197.10","6,061.80","","-0.64%"
"26/11/2007","6,180.50","6,262.10","6,307.80","6,180.50","","-1.30%"
"23/11/2007","6,262.10","6,155.30","6,262.10","6,153.60","","1.74%"
"22/11/2007","6,155.30","6,070.90","6,155.30","6,026.90","","1.39%"
"21/11/2007","6,070.90","6,226.50","6,226.50","6,041.80","","-2.50%"
"20/11/2007","6,226.50","6,120.80","6,227.70","6,078.70","","1.73%"
"19/11/2007","6,120.80","6,291.20","6,331.70","6,120.80","","-2.71%"
"16/11/2007","6,291.20","6,359.60","6,359.60","6,283.90","","-1.08%"
"15/11/2007","6,359.60","6,432.10","6,465.40","6,335.50","","-1.13%"
"14/11/2007","6,432.10","6,362.40","6,460.80","6,362.40","","1.10%"
"13/11/2007","6,362.40","6,337.90","6,387.40","6,279.70","","0.39%"
"12/11/2007","6,337.90","6,304.90","6,365.20","6,268.60","","0.52%"
"09/11/2007","6,304.90","6,381.90","6,442.90","6,268.90","","-1.21%"
"08/11/2007","6,381.90","6,385.10","6,432.30","6,290.30","","-0.05%"
"07/11/2007","6,385.10","6,474.90","6,519.20","6,381.30","","-1.39%"
"06/11/2007","6,474.90","6,461.40","6,512.10","6,456.40","","0.21%"
"05/11/2007","6,461.40","6,530.60","6,530.60","6,420.40","","-1.06%"
"02/11/2007","6,530.60","6,586.10","6,586.10","6,483.40","","-0.84%"
"01/11/2007","6,586.10","6,721.60","6,723.70","6,549.70","","-2.02%"
"31/10/2007","6,721.60","6,659.00","6,721.60","6,636.90","","0.94%"
"30/10/2007","6,659.00","6,706.00","6,706.00","6,653.80","","-0.70%"
"29/10/2007","6,706.00","6,661.30","6,726.90","6,661.30","","0.67%"
